player_name,role,t20i_matches,t20i_runs,t20i_avg,t20i_sr,t20i_wickets,t20i_economy,ipl_2024_runs,ipl_2024_avg,ipl_2024_sr,ipl_2024_wickets,ipl_2024_economy,recent_form_rating,availability,notes
Virat Kohli,batter,115,4008,52.7,137.5,4,6.0,741,61.8,154.3,0,0,excellent,available,World Cup 2024 MVP
Rohit Sharma,batter,148,3974,31.3,140.5,15,7.1,417,30.6,150.2,0,0,good,available,Captain
Jasprit Bumrah,bowler,70,56,14.0,116.7,89,6.2,20,10.0,105.3,20,6.5,excellent,available,Best death bowler
Hardik Pandya,all-rounder,99,1515,27.5,143.9,79,7.3,216,24.0,143.0,11,10.2,good,available,Vice-captain
Ravindra Jadeja,all-rounder,74,515,21.5,127.1,54,7.1,267,38.1,142.6,5,7.9,excellent,available,Best fielder
Suryakumar Yadav,batter,60,2140,43.7,170.2,0,0,345,28.8,164.3,0,0,excellent,available,360-degree player
KL Rahul,batter,72,2265,37.9,139.5,0,0,520,43.3,136.0,0,0,moderate,available,Wicketkeeper option
Rishabh Pant,wicketkeeper,66,987,23.0,147.4,0,0,446,40.5,155.4,0,0,good,available,Primary wicketkeeper
Shubman Gill,batter,20,593,33.9,134.6,0,0,426,35.5,147.9,0,0,excellent,available,Opening option
Ishan Kishan,wicketkeeper,37,796,27.4,135.6,0,0,320,22.9,148.8,0,0,moderate,available,Backup keeper
Yashasvi Jaiswal,batter,14,723,48.2,164.3,0,0,435,31.1,164.9,0,0,excellent,available,Rising star
Rinku Singh,batter,15,356,89.0,176.2,0,0,287,31.9,176.3,0,0,excellent,available,Finisher
Arshdeep Singh,bowler,50,12,4.0,75.0,79,8.1,17,5.7,89.5,19,9.0,excellent,available,Left-arm pacer
Mohammed Siraj,bowler,33,18,6.0,90.0,43,8.5,15,5.0,107.1,16,9.6,good,available,Powerplay specialist
Kuldeep Yadav,bowler,28,8,4.0,66.7,42,6.9,7,3.5,77.8,16,8.0,excellent,available,Wrist spinner
Yuzvendra Chahal,bowler,80,11,5.5,91.7,96,8.2,9,4.5,112.5,18,9.0,good,available,Leg-spinner
Axar Patel,all-rounder,54,327,21.8,126.8,54,7.0,283,28.3,136.5,11,7.2,excellent,available,Spin all-rounder
Washington Sundar,all-rounder,31,265,24.1,138.5,25,6.9,187,26.7,145.7,7,8.1,good,available,Off-spin option
Ravichandran Ashwin,bowler,65,184,13.1,126.7,72,6.7,91,13.0,131.9,10,7.5,good,available,Experienced spinner
Mohammed Shami,bowler,24,15,7.5,93.8,24,9.1,0,0,0,0,0,moderate,injured,ODI specialist
Shreyas Iyer,batter,57,1734,33.7,134.6,0,0,351,31.9,146.4,0,0,good,available,Middle-order
Sanju Samson,wicketkeeper,23,374,24.9,155.6,0,0,531,48.3,161.4,0,0,excellent,available,Attacking keeper
Tilak Varma,batter,16,428,42.8,158.5,0,0,343,28.6,140.5,0,0,excellent,available,Young talent
Shivam Dube,all-rounder,22,362,30.2,155.6,4,10.8,396,36.0,162.3,0,0,excellent,available,Power hitter
Ruturaj Gaikwad,batter,8,141,23.5,119.5,0,0,583,53.0,142.4,0,0,good,available,CSK captain
Abhishek Sharma,all-rounder,5,123,24.6,158.1,0,0,484,32.3,204.2,3,9.5,excellent,available,Explosive opener
Dhruv Jurel,wicketkeeper,0,0,0,0,0,0,189,31.5,146.9,0,0,good,available,Test specialist
Mukesh Kumar,bowler,3,0,0,0,4,9.8,5,2.5,83.3,16,9.8,moderate,available,Pace option
Avesh Khan,bowler,26,8,4.0,80.0,33,9.3,12,4.0,85.7,19,10.3,moderate,available,Pace backup
Khaleel Ahmed,bowler,14,7,7.0,70.0,17,9.2,8,4.0,88.9,15,9.8,moderate,available,Left-arm pacer
